Parsing sort-10k,100k,1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	
10000	1	IDENT_____	SPIRAL	 0.3431554	 0.2557120	 0.1306860	
10000	1	IDENT_____	STAGGER	 0.0477386	 0.0330348	 0.0330755	
10000	1	IDENT_____	SAWTOTH	 0.0069373	 0.0051133	 0.0060456	
10000	1	IDENT_____	_RANDOM	 0.0069290	 0.0050676	 0.0059940	
10000	1	IDENT_____	PLATEAU	 0.0088307	 0.0076460	 0.0078434	
10000	1	IDENT_____	SHUFFLE	 0.0088411	 0.0076608	 0.0078606	
10000	1	REVERSE___	SPIRAL	 0.2700640	 0.3260488	 0.1293981	
10000	1	REVERSE___	STAGGER	 0.0378473	 0.0418898	 0.0422276	
10000	1	REVERSE___	SAWTOTH	 0.0069099	 0.0050300	 0.0060046	
10000	1	REVERSE___	_RANDOM	 0.0069030	 0.0050497	 0.0059782	
10000	1	REVERSE___	PLATEAU	 0.0160384	 0.0059840	 0.0055211	
10000	1	REVERSE___	SHUFFLE	 0.0130620	 0.0143958	 0.0154854	
10000	1	DITHER____	SPIRAL	 0.3237831	 0.2550572	 0.0887846	
10000	1	DITHER____	STAGGER	 0.3628856	 0.4554950	 0.0825691	
10000	1	DITHER____	SAWTOTH	 0.0322316	 0.0424795	 0.0343277	
10000	1	DITHER____	_RANDOM	 0.0322077	 0.0424168	 0.0344188	
10000	1	DITHER____	PLATEAU	 0.0394730	 0.0424454	 0.0344307	
10000	1	DITHER____	SHUFFLE	 0.0754129	 0.0541390	 0.0985011	
10000	1	REVERSE_BA	SPIRAL	 0.3292193	 0.2984276	 0.1297936	
10000	1	REVERSE_BA	STAGGER	 0.0466386	 0.0372459	 0.0366141	
10000	1	REVERSE_BA	SAWTOTH	 0.0069093	 0.0050209	 0.0059694	
10000	1	REVERSE_BA	_RANDOM	 0.0069071	 0.0050164	 0.0059650	
10000	1	REVERSE_BA	PLATEAU	 0.0088389	 0.0076203	 0.0078769	
10000	1	REVERSE_BA	SHUFFLE	 0.0448488	 0.0382421	 0.0376395	
10000	1	REVERSE_FR	SPIRAL	 0.3122709	 0.2754819	 0.1294160	
10000	1	REVERSE_FR	STAGGER	 0.0489277	 0.0380023	 0.0399336	
10000	1	REVERSE_FR	SAWTOTH	 0.0069066	 0.0050254	 0.0059820	
10000	1	REVERSE_FR	_RANDOM	 0.0069050	 0.0050216	 0.0059664	
10000	1	REVERSE_FR	PLATEAU	 0.0357816	 0.0059950	 0.0055425	
10000	1	REVERSE_FR	SHUFFLE	 0.0099137	 0.0109581	 0.0129764	
10000	256	IDENT_____	SPIRAL	 0.2154374	 0.1004235	 0.0984215	
10000	256	IDENT_____	STAGGER	 0.6013062	 0.5891279	 0.1252516	
10000	256	IDENT_____	SAWTOTH	 0.2097571	 0.1380791	 0.1388216	
10000	256	IDENT_____	_RANDOM	 0.5059547	 0.4731753	! 0.1603661	
10000	256	IDENT_____	PLATEAU	 0.0088072	 0.0076299	 0.0078263	
10000	256	IDENT_____	SHUFFLE	 0.1895045	 0.0795286	! 0.0840318	
10000	256	REVERSE___	SPIRAL	 0.2025123	 0.2966111	 0.1308644	
10000	256	REVERSE___	STAGGER	 0.6217652	 0.5960365	 0.1231403	
10000	256	REVERSE___	SAWTOTH	 0.1990235	 0.1393938	 0.1286649	
10000	256	REVERSE___	_RANDOM	 0.5345455	 0.4928257	 0.0593565	
10000	256	REVERSE___	PLATEAU	 0.0159929	 0.0063608	 0.0063686	
10000	256	REVERSE___	SHUFFLE	 0.1525799	 0.0865404	 0.0859578	
10000	256	DITHER____	SPIRAL	 0.2586869	 0.2804532	 0.0952219	
10000	256	DITHER____	STAGGER	 0.6483576	 0.6124515	 0.1078771	
10000	256	DITHER____	SAWTOTH	 0.3607951	 0.4119156	 0.0998638	
10000	256	DITHER____	_RANDOM	 0.5290427	 0.4945309	 0.0997274	
10000	256	DITHER____	PLATEAU	 0.0399496	 0.0356570	 0.0418529	
10000	256	DITHER____	SHUFFLE	 0.2130935	 0.1092215	 0.1049596	
10000	256	REVERSE_BA	SPIRAL	 0.2066076	 0.1149432	 0.1278449	
10000	256	REVERSE_BA	STAGGER	 0.6009507	 0.6144920	 0.1091161	
10000	256	REVERSE_BA	SAWTOTH	 0.2282939	 0.1359604	 0.1392698	
10000	256	REVERSE_BA	_RANDOM	 0.5135030	 0.4494811	 0.0594086	
10000	256	REVERSE_BA	PLATEAU	 0.0088094	 0.0076303	 0.0078370	
10000	256	REVERSE_BA	SHUFFLE	 0.1843468	 0.1022589	 0.0957886	
10000	256	REVERSE_FR	SPIRAL	 0.2145183	 0.2344579	 0.1151765	
10000	256	REVERSE_FR	STAGGER	 0.6533268	 0.6111522	 0.1087312	
10000	256	REVERSE_FR	SAWTOTH	 0.1995131	 0.1459245	 0.1231356	
10000	256	REVERSE_FR	_RANDOM	 0.4933873	 0.4507485	 0.0616433	
10000	256	REVERSE_FR	PLATEAU	 0.0405605	 0.0052912	 0.0049529	
10000	256	REVERSE_FR	SHUFFLE	 0.1676299	! 0.5972386	 0.0726188	
100000	1	IDENT_____	SPIRAL	 3.6686751	 2.6959020	 1.5928750	
100000	1	IDENT_____	STAGGER	 0.4883146	 0.3404332	 0.3410095	
100000	1	IDENT_____	SAWTOTH	 0.0846447	 0.0710368	 0.0660002	
100000	1	IDENT_____	_RANDOM	 0.0849009	 0.0705045	 0.0662629	
100000	1	IDENT_____	PLATEAU	 0.0968625	 0.0852756	 0.0868638	
100000	1	IDENT_____	SHUFFLE	 0.0965784	 0.0852112	 0.0870797	
100000	1	REVERSE___	SPIRAL	 3.4225584	 3.5809565	 1.6105102	
100000	1	REVERSE___	STAGGER	 0.4878733	 0.4244221	 0.3980744	
100000	1	REVERSE___	SAWTOTH	 0.0852494	 0.0708488	 0.0662985	
100000	1	REVERSE___	_RANDOM	 0.0853264	 0.0709928	 0.0664470	
100000	1	REVERSE___	PLATEAU	 0.1506377	 0.0675433	 0.0630232	
100000	1	REVERSE___	SHUFFLE	 0.1408902	 0.1553717	 0.1665183	
100000	1	DITHER____	SPIRAL	 3.7141717	 3.2033766	 1.4366865	
100000	1	DITHER____	STAGGER	 4.2665567	 4.1791510	 1.8987705	
100000	1	DITHER____	SAWTOTH	 0.3871363	 0.3780605	 0.3711984	
100000	1	DITHER____	_RANDOM	 0.3843800	 0.3771689	 0.3284630	
100000	1	DITHER____	PLATEAU	 0.3727536	 0.3775270	 0.3706174	
100000	1	DITHER____	SHUFFLE	 1.0748393	 0.8587696	 1.4961311	
100000	1	REVERSE_BA	SPIRAL	 3.9324655	 3.3392104	 1.5484230	
100000	1	REVERSE_BA	STAGGER	 0.5084118	 0.3825340	 0.3783611	
100000	1	REVERSE_BA	SAWTOTH	 0.0847122	 0.0706105	 0.0660456	
100000	1	REVERSE_BA	_RANDOM	 0.0851167	 0.0702877	 0.0663329	
100000	1	REVERSE_BA	PLATEAU	 0.0964271	 0.0849192	 0.0869726	
100000	1	REVERSE_BA	SHUFFLE	 0.4970224	 0.3919695	 0.3860075	
100000	1	REVERSE_FR	SPIRAL	 3.3926516	 2.7529142	 1.4885479	
100000	1	REVERSE_FR	STAGGER	 0.5008915	 0.3911728	 0.3921104	
100000	1	REVERSE_FR	SAWTOTH	 0.0847435	 0.0704356	 0.0660602	
100000	1	REVERSE_FR	_RANDOM	 0.0847204	 0.0706685	 0.0664439	
100000	1	REVERSE_FR	PLATEAU	 0.3560676	 0.0676345	 0.0626557	
100000	1	REVERSE_FR	SHUFFLE	 0.1080874	 0.1299456	 0.1211484	
100000	256	IDENT_____	SPIRAL	 2.8468422	 1.7318055	 1.7389929	
100000	256	IDENT_____	STAGGER	 6.4735308	 1.9537061	 1.9532294	
100000	256	IDENT_____	SAWTOTH	 2.6727912	 2.1279702	 2.1257254	
100000	256	IDENT_____	_RANDOM	 4.9207387	 4.8699035	 0.8656007	
100000	256	IDENT_____	PLATEAU	 0.0965869	 0.0853382	 0.0870240	
100000	256	IDENT_____	SHUFFLE	 2.4289599	 0.9442096	 1.1198247	
100000	256	REVERSE___	SPIRAL	 2.2794029	 2.5742633	 2.0301478	
100000	256	REVERSE___	STAGGER	 7.2219445	 2.0708427	 2.0075706	
100000	256	REVERSE___	SAWTOTH	 2.4846724	 2.2001880	 2.2414223	
100000	256	REVERSE___	_RANDOM	 4.7018658	 4.1895308	 0.7854996	
100000	256	REVERSE___	PLATEAU	 0.1648153	 0.0676201	 0.0676155	
100000	256	REVERSE___	SHUFFLE	 2.1236731	 1.2365242	 1.3501574	
100000	256	DITHER____	SPIRAL	 3.2163329	 2.6783682	 1.1823212	
100000	256	DITHER____	STAGGER	 7.1721387	 1.9773536	 1.9755999	
100000	256	DITHER____	SAWTOTH	 3.1552070	 3.2575287	 0.9566906	
100000	256	DITHER____	_RANDOM	 4.8238492	 4.6445308	 0.9599095	
100000	256	DITHER____	PLATEAU	 0.4101828	 0.3488450	 0.4233412	
100000	256	DITHER____	SHUFFLE	 2.8036956	 1.5639008	 1.4929674	
100000	256	REVERSE_BA	SPIRAL	 2.8055433	 1.8333541	 1.8366081	
100000	256	REVERSE_BA	STAGGER	 6.9502318	 1.9750807	 1.9934775	
100000	256	REVERSE_BA	SAWTOTH	 2.6221666	 2.1745042	 2.1440781	
100000	256	REVERSE_BA	_RANDOM	 4.8292326	 4.3312934	 0.7864945	
100000	256	REVERSE_BA	PLATEAU	 0.0981592	 0.0854252	 0.0868071	
100000	256	REVERSE_BA	SHUFFLE	 2.3594326	 1.2544391	 1.3214123	
100000	256	REVERSE_FR	SPIRAL	 2.6699307	 2.3080402	 1.1636162	
100000	256	REVERSE_FR	STAGGER	 7.5097438	 2.0439897	 1.9933330	
100000	256	REVERSE_FR	SAWTOTH	 2.8082511	 2.1605176	 2.2233149	
100000	256	REVERSE_FR	_RANDOM	 5.0413608	 4.4535575	 0.7857286	
100000	256	REVERSE_FR	PLATEAU	 0.3927534	 0.0565403	 0.0532189	
100000	256	REVERSE_FR	SHUFFLE	 2.3813132	 1.2314210	 1.2798823	
1000000	1	IDENT_____	SPIRAL	 39.9579968	 30.9215135	 28.1607050	
1000000	1	IDENT_____	STAGGER	 5.0857891	 3.5411935	 3.5417429	
1000000	1	IDENT_____	SAWTOTH	 0.7799254	 0.8179589	 0.7737703	
1000000	1	IDENT_____	_RANDOM	 0.7724924	 0.8144091	 0.7708235	
1000000	1	IDENT_____	PLATEAU	 1.0859463	 0.9901016	 0.9955832	
1000000	1	IDENT_____	SHUFFLE	 1.0761510	 0.9947206	 0.9914455	
1000000	1	REVERSE___	SPIRAL	 43.3998891	 41.5328378	 30.2016529	
1000000	1	REVERSE___	STAGGER	 5.8168653	 4.9449724	 4.6666797	
1000000	1	REVERSE___	SAWTOTH	 0.9283655	 0.9924240	 0.9735150	
1000000	1	REVERSE___	_RANDOM	 0.9663164	 0.9976160	 0.9300434	
1000000	1	REVERSE___	PLATEAU	 1.8870738	 1.0063738	 0.9376397	
1000000	1	REVERSE___	SHUFFLE	 1.7744754	 2.0340807	 2.2177244	
1000000	1	DITHER____	SPIRAL	 41.4088818	 38.7230135	 23.4684915	
1000000	1	DITHER____	STAGGER	 43.3612544	 67.2968493	 26.7441000	
1000000	1	DITHER____	SAWTOTH	 4.0269510	 3.3751898	 4.0019707	
1000000	1	DITHER____	_RANDOM	 4.0229142	 3.3135944	 3.9952540	
1000000	1	DITHER____	PLATEAU	 4.5244671	 3.3418155	 4.0068862	
1000000	1	DITHER____	SHUFFLE	 11.4234234	 11.2711581	 27.0178671	
1000000	1	REVERSE_BA	SPIRAL	 46.9862419	 38.2783745	 30.3555165	
1000000	1	REVERSE_BA	STAGGER	 6.1979654	 4.4082440	 4.4616766	
1000000	1	REVERSE_BA	SAWTOTH	 0.9214124	 1.0240152	 0.9684578	
1000000	1	REVERSE_BA	_RANDOM	 0.9279413	 0.9936494	 0.9160564	
1000000	1	REVERSE_BA	PLATEAU	 1.3391599	 1.2328003	 1.2451263	
1000000	1	REVERSE_BA	SHUFFLE	 6.8998592	 4.7459226	 4.7708300	
1000000	1	REVERSE_FR	SPIRAL	 42.8512830	 32.7111832	 30.5687215	
1000000	1	REVERSE_FR	STAGGER	 6.0681038	 4.7424704	 4.6584425	
1000000	1	REVERSE_FR	SAWTOTH	 0.9815931	 0.9750730	 0.9405595	
1000000	1	REVERSE_FR	_RANDOM	 0.9471356	 0.9777780	 0.9316646	
1000000	1	REVERSE_FR	PLATEAU	 4.4485424	 0.9717802	 0.9150892	
1000000	1	REVERSE_FR	SHUFFLE	 1.4627270	 1.6970040	 1.5924510	
1000000	256	IDENT_____	SPIRAL	 32.4647042	 24.4063640	 24.1745229	
1000000	256	IDENT_____	STAGGER	 83.4464559	 19.9029899	 19.8540839	
1000000	256	IDENT_____	SAWTOTH	 26.9983049	 29.2359358	 29.2935164	
1000000	256	IDENT_____	_RANDOM	 53.6690062	 46.7059489	 7.6309159	
1000000	256	IDENT_____	PLATEAU	 1.3265910	 1.1897912	 1.2223271	
1000000	256	IDENT_____	SHUFFLE	 26.7184957	 13.0424302	! 19.6780856	
1000000	256	REVERSE___	SPIRAL	 26.6275169	 25.7673555	 11.6385873	
1000000	256	REVERSE___	STAGGER	 86.9985108	 24.0228747	 23.4193939	
1000000	256	REVERSE___	SAWTOTH	 26.4014299	 29.9577051	 32.5042165	
1000000	256	REVERSE___	_RANDOM	 53.2601962	 49.2582860	! 8.9957183	
1000000	256	REVERSE___	PLATEAU	 2.1056056	 1.0105709	 1.0101444	
1000000	256	REVERSE___	SHUFFLE	 25.3242778	 16.1794869	 22.0981386	
1000000	256	DITHER____	SPIRAL	 34.4178246	 30.2872410	 11.7948335	
1000000	256	DITHER____	STAGGER	 91.0130447	 20.7709825	 20.6908924	
1000000	256	DITHER____	SAWTOTH	 33.7239262	 32.5625791	 9.1176785	
1000000	256	DITHER____	_RANDOM	 48.1109720	 48.2729817	 9.1886587	
1000000	256	DITHER____	PLATEAU	 4.0659680	 3.8815584	 4.3177653	
1000000	256	DITHER____	SHUFFLE	 33.2139061	 13.8888680	 26.7668741	
1000000	256	REVERSE_BA	SPIRAL	 32.6034650	 34.6534795	 12.4593253	
1000000	256	REVERSE_BA	STAGGER	 85.1345693	 20.3938284	 20.3670017	
1000000	256	REVERSE_BA	SAWTOTH	 27.3923885	 34.7690750	 31.6036541	
1000000	256	REVERSE_BA	_RANDOM	 52.0511126	 47.8493930	 7.0358331	
1000000	256	REVERSE_BA	PLATEAU	 1.3261587	 1.1952111	 1.2084649	
1000000	256	REVERSE_BA	SHUFFLE	 26.7564727	 15.0277503	 21.4978801	
1000000	256	REVERSE_FR	SPIRAL	 32.8945553	 26.0488849	 11.4584263	
1000000	256	REVERSE_FR	STAGGER	 86.9317896	 22.3340575	 22.7302242	
1000000	256	REVERSE_FR	SAWTOTH	 28.0960900	 28.7418443	 29.9071081	
1000000	256	REVERSE_FR	_RANDOM	 50.3054454	 41.6308903	 6.1434854	
1000000	256	REVERSE_FR	PLATEAU	 4.1670210	 0.6978804	 0.6696644	
1000000	256	REVERSE_FR	SHUFFLE	 25.0479348	 15.0496406	 20.3880185	
